ScenarioName,Year,Driver,Region,Value,StandardizedValue,Notes,Baseline,Sigma
Delayed transition,2025,CarbonPrice,Asia-Pacific (developed),0.0,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CarbonPrice,Asia-Pacific (emerging),1.1995776575735762,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CarbonPrice,Europe,0.0,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CarbonPrice,Global,5.347469036,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CarbonPrice,Latin America,2.816408812,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CarbonPrice,Middle East & Africa,0.0,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CarbonPrice,North America,0.0,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CoalPrice,Asia-Pacific (developed),2.130272921728,2.357911168708916e-05,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CoalPrice,Asia-Pacific (emerging),2.096586645582148,3.399750621694874e-07,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CoalPrice,Europe,1.5978219610533333,5.75091119489513e-06,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CoalPrice,Global,2.122696157609792,9.579413104655106e-07,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CoalPrice,Latin America,2.170938018693039,-3.242770268006686e-05,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CoalPrice,Middle East & Africa,2.184099740344,6.894269641684055e-06,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,CoalPrice,North America,1.802318900456,5.763129057157451e-05,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GDP,Asia-Pacific (developed),2928.213386177717,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GDP,Asia-Pacific (emerging),31973.76485009565,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GDP,Europe,8015.385380070914,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GDP,Global,138636.65019239936,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GDP,Latin America,5046.517596000601,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GDP,Middle East & Africa,2444.3646073334157,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GDP,North America,10836.39658386797,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GasPrice,Asia-Pacific (developed),6.150777254746667,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GasPrice,Asia-Pacific (emerging),5.465340529724983,-9.109616921806284e-06,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GasPrice,Europe,6.330221500853334,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GasPrice,Global,4.605849973544091,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GasPrice,Latin America,5.264509662349023,-1.2983541747946527e-05,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GasPrice,Middle East & Africa,5.925313773776001,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,GasPrice,North America,5.63224051216,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,OilPrice,Asia-Pacific (developed),15.441672815306664,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,OilPrice,Asia-Pacific (emerging),13.526052965006988,8.357146371262576e-05,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,OilPrice,Europe,15.012002879653332,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,OilPrice,Global,11.425886692828255,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,OilPrice,Latin America,13.448005622882263,-0.0001512391622371,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,OilPrice,Middle East & Africa,14.417750756864,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2025,OilPrice,North America,15.42451269944,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CarbonPrice,Asia-Pacific (developed),0.0,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CarbonPrice,Asia-Pacific (emerging),1.593420101716136,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CarbonPrice,Europe,0.0,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CarbonPrice,Global,5.75342875304908,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CarbonPrice,Latin America,4.434125543783165,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CarbonPrice,Middle East & Africa,0.0,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CarbonPrice,North America,0.0,0.0,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CoalPrice,Asia-Pacific (developed),2.173071003808,0.0421041216476921,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CoalPrice,Asia-Pacific (emerging),2.0362982488755748,-0.8667725455293692,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CoalPrice,Europe,1.5677341992773333,0.0003130356177506,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CoalPrice,Global,1.9154505151625625,-0.9834164279484634,Source: NGFS Phase V - IAM_data.xlsx,,
Delayed transition,2030,CoalPrice,Latin America,2.1260714438954533,-0.5203196836108729,Source: NGFS Phase V - IAM_data.xlsx,,
