ScenarioName,Year,Driver,Region,Value,StandardizedValue,Notes,Baseline,Sigma
Net Zero 2050,2025,CarbonPrice,Asia-Pacific (developed),9.542874794399976,1.7320508075688774,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CarbonPrice,Asia-Pacific (emerging),55.30900252206592,1.7320508075688774,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CarbonPrice,Europe,19.392222619554538,1.7320508075688772,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CarbonPrice,Global,109.11919425004623,1.7320508075688774,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CarbonPrice,Latin America,62.94342373035922,1.7320508075688776,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CarbonPrice,Middle East & Africa,15.686350566300002,1.7320508075688772,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CarbonPrice,North America,14.59436727190909,1.7320508075688774,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CoalPrice,Asia-Pacific (developed),2.288332113096,1.7320625970043488,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CoalPrice,Asia-Pacific (emerging),2.3287939738857935,1.7320509775563833,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CoalPrice,Europe,1.9218501351279995,1.7320536830173143,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CoalPrice,Global,2.4874353274333423,1.732051286539334,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CoalPrice,Latin America,2.416478721614856,1.7320345934898689,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CoalPrice,Middle East & Africa,2.3462741319119997,1.7320542546934072,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,CoalPrice,North America,1.899319817484,1.7320796224950663,Source: NGFS Phase V - IAM_data.xlsx,,
Net Zero 2050,2025,GDP,Asia-Pacific (developed),2927.7420525612797,-1.7320508075688772,Source: NGFS Phase V - IAM_data.xlsx,,
