ScenarioName,Year,Driver,Region,Value,StandardizedValue,Baseline,Sigma,Notes
Net Zero 2050,2030,DroughtRisk,Asia-Pacific (developed),-1.3043016825738392,0.6914703562834769,-1.3524092034761266,0.06957278857311586,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,DroughtRisk,Asia-Pacific (developed),-1.4414278470588382,-1.2795037457663436,-1.3524092034761266,0.06957278857311586,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,DroughtRisk,Asia-Pacific (developed),-1.3524092034761266,0.0,-1.3524092034761266,0.06957278857311586,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,DroughtRisk,Asia-Pacific (developed),-2.2526917587367654,-1.2831955151023362,-1.8766396779824948,0.29305906724921815,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,DroughtRisk,Asia-Pacific (developed),-2.454010649123128,-1.9701522172990318,-1.8766396779824948,0.29305906724921815,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,DroughtRisk,Asia-Pacific (developed),-1.8766396779824948,0.0,-1.8766396779824948,0.29305906724921815,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,DroughtRisk,Asia-Pacific (emerging),-1.075650013220339,0.7354557752972082,-1.243016515371523,0.22756841100819242,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,DroughtRisk,Asia-Pacific (emerging),-1.5258758750994215,-1.2429640760541043,-1.243016515371523,0.22756841100819242,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,DroughtRisk,Asia-Pacific (emerging),-1.243016515371523,0.0,-1.243016515371523,0.22756841100819242,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,DroughtRisk,Asia-Pacific (emerging),-2.2390442211321058,-1.9552556121419675,-1.94601815162767,0.1498658629003642,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,DroughtRisk,Asia-Pacific (emerging),-2.147130843262495,-1.3419513139462025,-1.94601815162767,0.1498658629003642,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,DroughtRisk,Asia-Pacific (emerging),-1.94601815162767,0.0,-1.94601815162767,0.1498658629003642,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,DroughtRisk,Europe,-1.1078059322885476,1.5979308685116334,-1.2701378278921545,0.10158881013094655,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,DroughtRisk,Europe,-1.294788352266328,-0.24264999602219278,-1.2701378278921545,0.10158881013094655,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,DroughtRisk,Europe,-1.2701378278921545,0.0,-1.2701378278921545,0.10158881013094655,World Bank CCKP ssp585 (2020-2039)
